type,yahoo_symbol,trading212_symbol,benchmark_index,currency,sector,sub_industry,region,size,source,enabled
ticker,FIS,FIS,^GSPC,,Financials,Transaction & Payment Processing Services,US,Mega/Large,LargeCap,Y
ticker,FISV,FISV,^GSPC,,Financials,Transaction & Payment Processing Services,US,Mega/Large,LargeCap,Y
ticker,ICE,ICE,^GSPC,,Financials,Financial Exchanges & Data,US,Mega/Large,LargeCap,Y
ticker,IVZ,IVZ,^GSPC,,Financials,Asset Management & Custody Banks,US,Mega/Large,LargeCap,Y
ticker,NDAQ,NDAQ,^GSPC,,Financials,Financial Exchanges & Data,US,Mega/Large,LargeCap,Y
ticker,TROW,TROW,^GSPC,,Financials,Asset Management & Custody Banks,US,Large,Dividend,Y
ticker,ALNY,ALNY,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,BMRN,BMRN,^GSPC,,Health Care,Biotechnology,US,Mega/Large,LargeCap,Y
ticker,EXAS,EXAS,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,FOLD,FOLD,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,HALO,HALO,^GSPC,,Health Care,Biotechnology,US,Mega/Large,LargeCap,Y
ticker,ILMN,ILMN,^GSPC,,Health Care,Life Sciences Tools & Services,US,Mega/Large,LargeCap,Y
ticker,MRNA,MRNA,^GSPC,,Health Care,Biotechnology,US,Mega/Large,LargeCap,Y
ticker,NBIX,NBIX,^GSPC,,Health Care,Biotechnology,US,Mega/Large,LargeCap,Y
ticker,NVAX,NVAX,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,SGMO,SGMO,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,TECH,TECH,^GSPC,,Health Care,Life Sciences Tools & Services,US,Mega/Large,LargeCap,Y
ticker,XBI,XBI,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,CI,CI,^GSPC,,Health Care,Health Care Services,US,Mega/Large,LargeCap,Y
